"filename", "language", "XML", "Java", "CSS", "Markdown", "Batch", "Java Properties", "comment", "blank", "total"
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\util\FileHandler.java", "Java", 0, 239, 0, 0, 0, 0, 16, 49, 304
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\util\ReportExporter.java", "Java", 0, 55, 0, 0, 0, 0, 1, 10, 66
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\util\WeightedAverageGradeCalculator.java", "Java", 0, 33, 0, 0, 0, 0, 2, 11, 46
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\module-info.java", "Java", 0, 33, 0, 0, 0, 0, 0, 10, 43
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\org\example\demo3\HelloApplication.java", "Java", 0, 21, 0, 0, 0, 0, 2, 4, 27
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\add-student-view.fxml", "XML", 60, 0, 0, 0, 0, 0, 0, 4, 64
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\archive-view.fxml", "XML", 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\assessment-creation.fxml", "XML", 56, 0, 0, 0, 0, 0, 0, 10, 66
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\assessment-view.fxml", "XML", 115, 0, 0, 0, 0, 0, 0, 3, 118
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\class-details-view.fxml", "XML", 133, 0, 0, 0, 0, 0, 0, 4, 137
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\classes-view.fxml", "XML", 67, 0, 0, 0, 0, 0, 0, 8, 75
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\course-creation.fxml", "XML", 78, 0, 0, 0, 0, 0, 0, 12, 90
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\course-details.fxml", "XML", 85, 0, 0, 0, 0, 0, 0, 11, 96
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\courses-view.fxml", "XML", 55, 0, 0, 0, 0, 0, 3, 8, 66
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\hello-view.fxml", "XML", 183, 0, 0, 0, 0, 0, 0, 3, 186
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\home-view.fxml", "XML", 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\icons\assessments.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\marking-view.fxml", "XML", 60, 0, 0, 0, 0, 0, 0, 3, 63
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\student-details-view.fxml", "XML", 128, 0, 0, 0, 0, 0, 0, 4, 132
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\students-view.fxml", "XML", 55, 0, 0, 0, 0, 0, 14, 10, 79
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\styles.css", "CSS", 0, 0, 67, 0, 0, 0, 9, 5, 81
"Total", "-", 1511, 4811, 67, 19, 102, 2, 175, 986, 7673
