"filename", "language", "XML", "Java", "comment", "blank", "total"
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\controller\AssessmentController.java", "Java", 0, 253, 3, 57, 313
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\database\Database.java", "Java", 0, 19, 1, 1, 21
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\Assessment.java", "Java", 0, 38, -3, 18, 53
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\java\com\gradeapp\model\AssessmentPart.java", "Java", 0, 29, 2, 8, 39
"c:\Users\noval\Documents\GitHub\gradeappv3\src\main\resources\org\example\demo3\assessment-view.fxml", "XML", 7, 0, 0, -3, 4
"Total", "-", 7, 339, 3, 81, 430
